,date,time,id,tweet,language,replies_count,retweets_count,likes_count
0,2022-09-02,23:46:46,1565727942763810817,"The homosekshu urge to scream, “Hey, Whores!!!!!”while in the waiting room after getting the Monkeypox Vaccine.  https://t.co/BkxrzoXZD0",en,0,0,0
1,2022-09-02,23:46:27,1565727863286153216,"Lovely to see the UK monkeypox curve continuing to come down and it does appear to be a genuine trend. I wonder if it will become a low and slightly bumpy long tail or will just fizzle out completely, at least for this outbreak? Anyone who says they know the answer is lying, IMO.",en,0,0,1
2,2022-09-02,23:45:43,1565727679743234050,New Monkeypox Strain Identified In UK  https://t.co/btHqkTMEQe,en,0,0,0
3,2022-09-02,23:45:39,1565727664756908033,"@SaskLass It probably has monkeypox too.  Am I using its preferred pronouns right, ""it""?",en,0,0,0
4,2022-09-02,23:45:33,1565727637833752576,"#TupocIsACult should be safe from monkey pox as long as they wash their hands after handling a monkey, especially it's genitalia! Yep! Y'bet! ✊🤨🙊👍",en,0,0,0
5,2022-09-02,23:45:29,1565727621236887552,@BetoORourke Monkey Pox Boy still in hiding?,en,0,0,0
6,2022-09-02,23:45:25,1565727603096694786,"&lt;hand saws downed tree amongst nettles &amp; grass, well-recognized allergens&gt;   &lt;A couple hours later notices dime-sized rash on wrist&gt;  Me: I HAVE THE MONKEY POX  &lt;next morning, rash has resolved&gt;  Me: Yeah, probably the nettles then.   #PandemicTimesInMyHead  https://t.co/mdPTD1WPgE",en,0,0,2
7,2022-09-02,23:45:20,1565727582687055874,"got my second monkeypox shot yesterday. now scheduling dick appointments, just leave a message and my people will get back to you.",en,1,0,2
8,2022-09-02,23:45:14,1565727559937130496,Listen. After this 2nd MONKEYPOX shot and 2 weeks……….. it’s been a rough 9 months.  https://t.co/7KGWviBhq8,en,0,0,0
9,2022-09-02,23:45:12,1565727548964851714,"AMERICA WARNING: CURRENTLY ANIMALS  DOGS &amp; CATS ARE CATCHING COVID AND MONKEY POX,SO ARE FISH CARRYING DEADLY VIRUSES U.S.WATERS ARE BEING INUNDATED WITH DIRTY FILTHY WASTEWATER CARRYING POLIO,AND WEST NILE VIRUS AND OTHER VIRUSES &amp; TOXINS MEANT TO INFECT BEACHGOERS &amp; CHILDREN  https://t.co/VkZDKHHnbH",en,0,0,0
